2026-04-09T10:23:18+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:02+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:05+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:08+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:10+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:13+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T10:25:25+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 403 47
2026-04-09T12:59:50+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T13:14:05+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T13:15:33+0000 | WARNING | django.server | basehttp | "GET / HTTP/1.1" 404 4112
2026-04-09T13:15:33+0000 | WARNING | django.server | basehttp | "GET /favicon.ico HTTP/1.1" 404 4163
2026-04-09T13:16:24+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T13:16:32+0000 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T13:19:47+0000 | ERROR | django.request | log | Internal Server Error: /api/events/tracks/
2026-04-09T13:19:47+0000 | ERROR | django.request | log | Internal Server Error: /api/events/
2026-04-09T13:19:47+0000 | ERROR | django.server | basehttp | "GET /api/events/tracks/ HTTP/1.1" 500 41
2026-04-09T13:19:48+0000 | ERROR | django.server | basehttp | "GET /api/events/ HTTP/1.1" 500 41
2026-04-09T13:19:48+0000 | ERROR | django.request | log | Internal Server Error: /api/umamusume/skills/
2026-04-09T13:19:48+0000 | ERROR | django.request | log | Internal Server Error: /api/umamusume/uma/admin-list/
2026-04-09T13:19:48+0000 | ERROR | django.server | basehttp | "GET /api/umamusume/skills/ HTTP/1.1" 500 41
2026-04-09T13:19:48+0000 | ERROR | django.server | basehttp | "GET /api/umamusume/uma/admin-list/ HTTP/1.1" 500 41
2026-04-09T13:24:55+0000 | WARNING | django.server | basehttp | "GET /api/admin/logs/?limit=5 HTTP/1.1" 401 107
2026-04-09T13:24:55+0000 | WARNING | django.server | basehttp | "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzc1NzQ0Njk0LCJpYXQiOjE3NzU3NDEwOTQsImp0aSI6IjQ4MmY5MTY2ZmI0MzRlMjdiMTRhNjI2ZjljMDhkMWEzIiwidXNlcl9pZCI6MX0.YCGDxMXuNjbleAuQOq5YyZKJsFmIdp8RQqEaDo8Gu5s" 400 -
2026-04-09T23:09:54+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:10:30+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:10:46+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:11:20+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:16:15+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:16:28+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:16:33+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:19:39+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:25:28+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
2026-04-09T23:28:22+0800 | WARNING | django.server | basehttp | "POST /api/auth/token/ HTTP/1.1" 401 32
